MPV 047/2002,EMC 10/2002 MPV04702 => MPV 47/2002,Emenda na Comissão,27/06/2002,Narcio Rodrigues,Inteiro teor,Rejeição,Sim,0
MPV 232/2004,EMC 315/2005 MPV23204 => MPV 232/2004,Emenda na Comissão,05/01/2005,Antonio Carlos Mendes Thame,Acrescenta parágrafos ao art. 7º Inteiro teor,Rejeição,Sim,0
MPV 432/2008,EMC 346/2008 MPV43208 => MPV 432/2008,Emenda na Comissão,03/06/2008,Afonso Hamm,Altera a redação do art. 29 da MPV 432/2008. Inteiro teor,Rejeição,Sim,0
MPV 577/2012,EMC 40/2012 MPV57712 => MPV 577/2012,Emenda na Comissão,05/09/2012,Ricardo Ferraço,Dá nova redação à MPV 577/2012. Inteiro teor,Aprovação,Sim,0
MPV 516/2010,EMC 44/2011 MPV51610 => MPV 516/2010,Emenda na Comissão,01/02/2011,Daniel Almeida,Dá nova redação à MPV 516/2010. Inteiro teor,Não apreciada,Sim,0
